"mfr_id","user_id","city_name","mfr_distance","start_point_lng","start_point_lat","end_point_lng","end_point_lat","start_type","end_type","walk","bike","bus","car_pooling","car","motorbike","frequency","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_time","end_time","created_at","deleted_at"
1767,237,"Milano",0,9.17491210457809,45.4504175295359,9.17027051782264,45.4509917445086,1,2,10000,0,0,0,0,0,1,true,true,true,true,true,false,false,"8:0","20:0","2019-05-09 07:53:02.375656",NULL
3377,3864,"Milano",9,9.1396841,45.4275499,9.255651,45.4188051,1,2,5000,0,7000,0,5000,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-09-23 12:43:26.746088",NULL
NULL,3055,"Teresina",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1660,1416,"Palermo",1,13.3646043,38.1173033,13.3552155093377,38.1100570074687,1,2,100,0,20,0,0,0,1,true,true,true,true,true,false,false,"9:00","17:00","2019-04-17 11:54:51.535282",NULL
3779,4537,"Oostende",2,2.9057087,51.2256496,2.9375536,51.2169777,1,2,0,9000,0,0,0,0,5,true,true,true,true,true,false,false,"15:40","15:51","2019-10-23 15:24:47.357986",NULL
2688,2051,"Teresina",10,-42.7412666,-5.05119559999999,-42.8107544,-5.1080255,1,2,0,6000,0,0,6000,0,1,true,true,true,true,true,false,false,"7:46","8:25","2019-06-24 13:05:19.117201",NULL
829,712,"Palermo",0,13.3650008399836,38.1150768499439,13.3649507534699,38.1150835799839,1,2,30,0,0,0,0,0,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-01-17 17:13:20.056103",NULL
NULL,4776,"Katowice",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4100,4647,"Torino",44,7.665904,45.071623,7.8485528,44.6937573,1,2,0,0,0,0,0,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-11-25 06:34:04.0127","2019-12-01 00:56:33.53312"
3156,3246,"Teresina",0,-42.798760777834,-5.07431641428911,-42.799110654633,-5.0741399142858,1,2,10000,0,0,0,0,0,1,true,true,true,true,true,false,false,"19:17","19:48","2019-08-27 23:23:50.435805",NULL
3444,3965,"Modena",37,10.9370168,44.6460832,11.3481335,44.4908985,1,4,3000,0,4000,0,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-09-26 15:28:24.153068",NULL
3097,1230,"Teresina",5,-42.772505,-5.08358389999999,-42.8130075999999,-5.0916958,1,0,0,9000,1000,0,4000,0,1,true,true,true,true,true,true,true,"10:7","11:9","2019-08-16 13:09:35.330315",NULL
NULL,1710,"Teresina",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,2412,"Helsinki",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,4581,"Torino",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
206,211,"Palermo",1,13.3558751,38.1356903,13.3502683,38.1252622,2,0,100,0,0,0,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2018-09-29 06:28:33.42797","2018-10-02 07:26:33.969472"
NULL,4356,"Teresina",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3276,54,"Palermo",0,13.3496283,38.1217766,13.3536646,38.1192885,1,4,10000,0,0,0,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-09-17 07:35:34.969552",NULL
1241,1071,"Helsinki",13,25.0171897,60.2495532,24.8848176,60.1544563,1,2,0,20,90,0,20,0,1,true,true,true,true,true,false,false,"9:00","17:00","2019-03-06 17:02:33.881395",NULL
